MT2P1	0.494834	0.543334
MIR4444-2	0.0517126	0.406714
IMPA1	0.113945	0.730631
RPL28	-0.412976	0.784555
LOC100287823	-0.848362	0.47168
ZNF2	-0.201688	0.911112
FFAR2	-0.143956	0.945084
RPL23AP69	-0.190941	0.242497
SLC35F1	0.745238	0.493988
LOC100507373	-0.152852	0.552366
OR6P1	-0.502862	0.257159
RPL8P4	-0.580529	0.580623
GLG1	0.670302	0.85266
RDH5	0.287794	0.985008
TRBV23OR9-2	0.957964	0.682626
ZNF720	0.570955	0.348798
SUMO1P2	0.561029	0.0463973
LOC286087	-0.294335	0.356998
ACO2	-0.74053	0.982246
AIMP1	-0.168492	0.406485
CCNA1	0.565381	0.433204
RPL35AP20	0.152556	0.650468
LOC780529	-0.933978	0.404012
PPBPL1	0.917888	0.59552
GAPDHP55	0.866157	0.937041
AFAP1L2	0.511478	0.538914
CNN3	0.648583	0.0107468
MYBPC1	0.493038	0.103035
AIRE	-0.903178	0.185691
TRNAV4	-0.0543206	0.00963562
ZWILCH	0.716361	0.47349
LOC100287189	-0.70013	0.245455
TEKT4	-0.886418	0.205245
MIR3607	-0.0690217	0.460975
SH3BP5	-0.297888	0.441003
LOC100653027	-0.341186	0.572097
C10orf35	0.984707	0.717851
LOC100507307	-0.278009	0.572729
KRT39	-0.239331	0.372083
TNFAIP6	-0.151451	0.743127
TGS1	-0.279839	0.626489
NOX1	0.705739	0.120025
GRHL2	-0.651315	0.950628
GIPC2	0.955003	0.252005
LOC729159	-0.430759	0.838286
LOC100294338	0.604201	0.369961
RGL2	-0.274378	0.271741
LOC100293962	-0.481061	0.994394
HMGN2P25	-0.907473	0.676333
LOC100129196	0.0033693	0.113288
TRNAN17	-0.0773707	0.718631
LOC100134173	0.921206	0.5289
LOC100653035	0.870833	0.989587
GNAL	-0.0685683	0.363796
LOC644634	-0.819328	0.844204
FLJ32224	-0.172588	0.757358
IL7R	0.108067	0.47624
LOC644877	-0.466819	0.135277
LOC386597	-0.844598	0.846593
LOC283728	-0.325914	0.673994
TNNT1	-0.791134	0.587366
PRR21	-0.770394	0.249345
TIGIT	-0.171655	0.715467
RPS23P5	0.739341	0.815428
LOC100506352	-0.535102	0.346335
GLB1	0.921225	0.301313
C17orf75	-0.691607	0.744436
IGHV3-30	-0.43421	0.328839
LOC100422346	-0.997336	0.563914
LOC100506907	-0.111733	0.161363
ZC3H13	0.406924	0.544031
TRNAC16	-0.490761	0.393111
MIR4476	-0.510762	0.582689
MIR191	-0.894513	0.602293
CHSY3	-0.920058	0.86241
LOC100418712	-0.31378	0.112233
TSG1	0.186853	0.630077
FLJ46906	0.562761	0.736514
EDARADD	0.583194	0.648711
LOC100129196	0.823817	0.606076
MRGPRX3	0.472891	0.713252
LOC100499497	0.379974	0.91987
LOC100420853	0.939092	0.328926
IGHV3OR16-11	-0.810369	0.806533
TMEM183A	0.36547	0.173247
OR8J2	-0.0379801	0.939338
CDRT2	-0.723855	0.659654
C9orf24	-0.611921	0.626484
AGBL2	0.24147	0.440977
TRAV8-1	0.317895	0.447152
LOC100132292	0.703209	0.707325
LOC100421509	-0.142908	0.620197
MGC27382	0.282385	0.88775
EXOSC8	0.987209	0.728354
ANKRD13D	0.0116456	0.048929
NUP43	-0.783563	0.858296
LOC100507190	0.831889	0.67166
FANCF	-0.0753289	0.96139
FAM65B	-0.840166	0.385913
PCDHGA10	-0.967128	0.591907
